Abbreviation,Description,Neutral formula,Charged formula,Charge,Compartment,KEGG ID,PubChem ID,ChEBI ID,InChI string,SMILES
m00003[c],(10Z)-heptadecenoic acid,C17H32O2,C17H32O2,0,c,,,,,
m00003[l],(10Z)-heptadecenoic acid,C17H32O2,C17H32O2,0,l,,,,,
m00003[r],(10Z)-heptadecenoic acid,C17H32O2,C17H32O2,0,r,,,,,
m00003[s],(10Z)-heptadecenoic acid,C17H32O2,C17H32O2,0,s,,,,,
m00004[c],(10Z)-heptadecenoyl-CoA,C38H66N7O17P3S,C38H66N7O17P3S,0,c,,,,,
m00004[m],(10Z)-heptadecenoyl-CoA,C38H66N7O17P3S,C38H66N7O17P3S,0,m,,,,,
m00004[r],(10Z)-heptadecenoyl-CoA,C38H66N7O17P3S,C38H66N7O17P3S,0,r,,,,,
m00006[c],(11Z)-docosenoyl-CoA,C43H76N7O17P3S,C43H76N7O17P3S,0,c,,,,,
m00006[m],(11Z)-docosenoyl-CoA,C43H76N7O17P3S,C43H76N7O17P3S,0,m,,,,,
m00006[r],(11Z)-docosenoyl-CoA,C43H76N7O17P3S,C43H76N7O17P3S,0,r,,,,,
m00011[c],"(11Z,14Z,17Z)-eicosatrienoylcarnitine",C27H47NO4,C27H47NO4,0,c,,,,,
m00011[m],"(11Z,14Z,17Z)-eicosatrienoylcarnitine",C27H47NO4,C27H47NO4,0,m,,,,,
m00011[r],"(11Z,14Z,17Z)-eicosatrienoylcarnitine",C27H47NO4,C27H47NO4,0,r,,,,,
m00014[p],(13E)-tetranor-16-carboxy-LTE4,C19H27NO7S,C19H27NO7S,0,p,,,,,
m00015[p],(13E)-tetranor-16-oxo-16-CoA-LTE4,C40H61N8O22P3S2,C40H61N8O22P3S2,0,p,,,,,
m00017[c],(13Z)-eicosenoic acid,C20H38O2,C20H38O2,0,c,,,,,
m00017[l],(13Z)-eicosenoic acid,C20H38O2,C20H38O2,0,l,,,,,
m00017[r],(13Z)-eicosenoic acid,C20H38O2,C20H38O2,0,r,,,,,
m00017[s],(13Z)-eicosenoic acid,C20H38O2,C20H38O2,0,s,,,,,
m00018[c],(13Z)-eicosenoyl-CoA,C41H72N7O17P3S,C41H72N7O17P3S,0,c,,,,,
m00018[m],(13Z)-eicosenoyl-CoA,C41H72N7O17P3S,C41H72N7O17P3S,0,m,,,,,
m00018[p],(13Z)-eicosenoyl-CoA,C41H72N7O17P3S,C41H72N7O17P3S,0,p,,,,,
m00018[r],(13Z)-eicosenoyl-CoA,C41H72N7O17P3S,C41H72N7O17P3S,0,r,,,,,
m00019[c],(13Z)-octadecenoic acid,C18H34O2,C18H34O2,0,c,,,,,
m00019[l],(13Z)-octadecenoic acid,C18H34O2,C18H34O2,0,l,,,,,
m00019[r],(13Z)-octadecenoic acid,C18H34O2,C18H34O2,0,r,,,,,
m00019[s],(13Z)-octadecenoic acid,C18H34O2,C18H34O2,0,s,,,,,
m00020[c],(13Z)-octadecenoyl-CoA,C39H68N7O17P3S,C39H68N7O17P3S,0,c,,,,,
m00020[m],(13Z)-octadecenoyl-CoA,C39H68N7O17P3S,C39H68N7O17P3S,0,m,,,,,
m00020[r],(13Z)-octadecenoyl-CoA,C39H68N7O17P3S,C39H68N7O17P3S,0,r,,,,,
m00022[c],"(13Z,16Z)-docosadienoylcarnitine",C29H53NO4,C29H53NO4,0,c,,,,,
m00022[m],"(13Z,16Z)-docosadienoylcarnitine",C29H53NO4,C29H53NO4,0,m,,,,,
m00022[r],"(13Z,16Z)-docosadienoylcarnitine",C29H53NO4,C29H53NO4,0,r,,,,,
m00024[c],(15Z)-tetracosenoylcarnitine,C31H59NO4,C31H59NO4,0,c,,,,,
m00024[r],(15Z)-tetracosenoylcarnitine,C31H59NO4,C31H59NO4,0,r,,,,,
m00026[m],(18E)-20-oxo-20-CoA-LTB4,C41H62N7O21P3S,C41H62N7O21P3S,0,m,,,,,
m00026[p],(18E)-20-oxo-20-CoA-LTB4,C41H62N7O21P3S,C41H62N7O21P3S,0,p,,,,,
m00027[p],(18E)-20-oxo-20-CoA-LTE4,C44H67N8O22P3S2,C44H67N8O22P3S2,0,p,,,,,
m00028[c],(18R)-HEPE,C20H30O3,C20H30O3,0,c,,,,,
m00029[c],"(18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoic acid",C20H30O3,C20H30O3,0,c,,,,,
m00040[c],(2E)-docosenoyl-CoA,C43H76N7O17P3S,C43H76N7O17P3S,0,c,,,,,
m00040[m],(2E)-docosenoyl-CoA,C43H76N7O17P3S,C43H76N7O17P3S,0,m,,,,,
m00040[p],(2E)-docosenoyl-CoA,C43H76N7O17P3S,C43H76N7O17P3S,0,p,,,,,
m00043[c],(2E)-eicosenoyl-CoA,C41H72N7O17P3S,C41H72N7O17P3S,0,c,,,,,
m00043[m],(2E)-eicosenoyl-CoA,C41H72N7O17P3S,C41H72N7O17P3S,0,m,,,,,
m00043[p],(2E)-eicosenoyl-CoA,C41H72N7O17P3S,C41H72N7O17P3S,0,p,,,,,
m00044[c],(2E)-heneicosenoyl-CoA,C42H74N7O17P3S,C42H74N7O17P3S,0,c,,,,,
m00044[m],(2E)-heneicosenoyl-CoA,C42H74N7O17P3S,C42H74N7O17P3S,0,m,,,,,
m00045[c],(2E)-heptadecenoyl-[ACP],C17H31OSR,C17H31OSR,0,c,,,,,
m00046[m],(2E)-heptadecenoyl-CoA,C38H66N7O17P3S,C38H66N7O17P3S,0,m,,,,,
m00047[c],(2E)-heptenoyl-[ACP],C7H11OSR,C7H11OSR,0,c,,,,,
m00048[m],(2E)-heptenoyl-CoA,C28H46N7O17P3S,C28H46N7O17P3S,0,m,,,,,
m00049[c],(2E)-hexacosenoyl-CoA,C47H84N7O17P3S,C47H84N7O17P3S,0,c,,,,,
m00049[p],(2E)-hexacosenoyl-CoA,C47H84N7O17P3S,C47H84N7O17P3S,0,p,,,,,
m00054[c],(2E)-nonadecenoyl-CoA,C40H70N7O17P3S,C40H70N7O17P3S,0,c,,,,,
m00054[m],(2E)-nonadecenoyl-CoA,C40H70N7O17P3S,C40H70N7O17P3S,0,m,,,,,
m00055[c],(2E)-nonenoyl-[ACP],C9H15OSR,C9H15OSR,0,c,,,,,
m00056[m],(2E)-nonenoyl-CoA,C30H50N7O17P3S,C30H50N7O17P3S,0,m,,,,,
m00060[c],(2E)-pentadecenoyl-[ACP],C15H27OSR,C15H27OSR,0,c,,,,,
m00061[m],(2E)-pentadecenoyl-CoA,C36H62N7O17P3S,C36H62N7O17P3S,0,m,,,,,
m00062[c],(2E)-pentenoyl-[ACP],C5H7OSR,C5H7OSR,0,c,,,,,
m00063[m],(2E)-pentenoyl-CoA,C26H42N7O17P3S,C26H42N7O17P3S,0,m,,,,,
m00064[c],(2E)-tetracosenoyl-CoA,C45H80N7O17P3S,C45H80N7O17P3S,0,c,,,,,
m00064[p],(2E)-tetracosenoyl-CoA,C45H80N7O17P3S,C45H80N7O17P3S,0,p,,,,,
m00067[c],(2E)-tricosenoyl-CoA,C44H78N7O17P3S,C44H78N7O17P3S,0,c,,,,,
