cpd_id,Description,Neutral formula,Charged formula,Charge,Compartment,KEGG ID,PubChem ID,ChEBI ID,InChI string,SMILES
m00001,(-)-trans-carveol,C10H16O,C10H16O,0,c,C00964,,CHEBI:15389,,
m00001,(-)-trans-carveol,C10H16O,C10H16O,0,s,C00964,,CHEBI:15389,,
m00002,(+)-alpha-pinene,C10H16,C10H16,0,c,C06306,,CHEBI:28261,,
m00002,(+)-alpha-pinene,C10H16,C10H16,0,s,C06306,,CHEBI:28261,,
m00003,(10Z)-heptadecenoic acid,C17H32O2,C17H32O2,0,c,,,,,
m00003,(10Z)-heptadecenoic acid,C17H32O2,C17H32O2,0,l,,,,,
m00003,(10Z)-heptadecenoic acid,C17H32O2,C17H32O2,0,r,,,,,
m00003,(10Z)-heptadecenoic acid,C17H32O2,C17H32O2,0,s,,,,,
m00004,(10Z)-heptadecenoyl-CoA,C38H66N7O17P3S,C38H66N7O17P3S,0,c,,,,,
m00004,(10Z)-heptadecenoyl-CoA,C38H66N7O17P3S,C38H66N7O17P3S,0,m,,,,,
m00004,(10Z)-heptadecenoyl-CoA,C38H66N7O17P3S,C38H66N7O17P3S,0,r,,,,,
m00005,(11R)-HPETE,C20H32O4,C20H32O4,0,c,C14820,,,,
m00006,(11Z)-docosenoyl-CoA,C43H76N7O17P3S,C43H76N7O17P3S,0,c,,,,,
m00006,(11Z)-docosenoyl-CoA,C43H76N7O17P3S,C43H76N7O17P3S,0,m,,,,,
m00006,(11Z)-docosenoyl-CoA,C43H76N7O17P3S,C43H76N7O17P3S,0,r,,,,,
m00007,(11Z)-eicosenoyl-CoA,C41H72N7O17P3S,C41H72N7O17P3S,0,c,C16530,,,,
m00007,(11Z)-eicosenoyl-CoA,C41H72N7O17P3S,C41H72N7O17P3S,0,m,C16530,,,,
m00007,(11Z)-eicosenoyl-CoA,C41H72N7O17P3S,C41H72N7O17P3S,0,p,C16530,,,,
m00007,(11Z)-eicosenoyl-CoA,C41H72N7O17P3S,C41H72N7O17P3S,0,r,C16530,,,,
m00008,"(11Z,14Z)-eicosadienoic acid",C20H36O2,C20H36O2,0,c,C16525,,,,
m00008,"(11Z,14Z)-eicosadienoic acid",C20H36O2,C20H36O2,0,l,C16525,,,,
m00008,"(11Z,14Z)-eicosadienoic acid",C20H36O2,C20H36O2,0,r,C16525,,,,
m00008,"(11Z,14Z)-eicosadienoic acid",C20H36O2,C20H36O2,0,s,C16525,,,,
m00009,"(11Z,14Z)-eicosadienoyl-CoA",C41H70N7O17P3S,C41H70N7O17P3S,0,c,C16180,,,,
m00009,"(11Z,14Z)-eicosadienoyl-CoA",C41H70N7O17P3S,C41H70N7O17P3S,0,m,C16180,,,,
m00009,"(11Z,14Z)-eicosadienoyl-CoA",C41H70N7O17P3S,C41H70N7O17P3S,0,r,C16180,,,,
m00010,"(11Z,14Z,17Z)-eicosatrienoic acid",C20H34O2,C20H34O2,0,c,C16522,,CHEBI:53460,,
m00010,"(11Z,14Z,17Z)-eicosatrienoic acid",C20H34O2,C20H34O2,0,l,C16522,,CHEBI:53460,,
m00010,"(11Z,14Z,17Z)-eicosatrienoic acid",C20H34O2,C20H34O2,0,r,C16522,,CHEBI:53460,,
m00010,"(11Z,14Z,17Z)-eicosatrienoic acid",C20H34O2,C20H34O2,0,s,C16522,,CHEBI:53460,,
m00011,"(11Z,14Z,17Z)-eicosatrienoylcarnitine",C27H47NO4,C27H47NO4,0,c,,,,,
m00011,"(11Z,14Z,17Z)-eicosatrienoylcarnitine",C27H47NO4,C27H47NO4,0,m,,,,,
m00011,"(11Z,14Z,17Z)-eicosatrienoylcarnitine",C27H47NO4,C27H47NO4,0,r,,,,,
m00012,"(11Z,14Z,17Z)-eicosatrienoyl-CoA",C41H68N7O17P3S,C41H68N7O17P3S,0,c,C16179,,,,
m00012,"(11Z,14Z,17Z)-eicosatrienoyl-CoA",C41H68N7O17P3S,C41H68N7O17P3S,0,m,C16179,,,,
m00012,"(11Z,14Z,17Z)-eicosatrienoyl-CoA",C41H68N7O17P3S,C41H68N7O17P3S,0,r,C16179,,,,
m00013,"(13E)-11alpha-hydroxy-9,15-dioxoprost-13-enoate",C20H32O5,C20H32O5,0,c,C04654,,CHEBI:15548,,
m00014,(13E)-tetranor-16-carboxy-LTE4,C19H27NO7S,C19H27NO7S,0,p,,,,,
m00015,(13E)-tetranor-16-oxo-16-CoA-LTE4,C40H61N8O22P3S2,C40H61N8O22P3S2,0,p,,,,,
m00016,(13Z)-docosenoyl-CoA,C43H76N7O17P3S,C43H76N7O17P3S,0,c,C16531,,,,
m00016,(13Z)-docosenoyl-CoA,C43H76N7O17P3S,C43H76N7O17P3S,0,m,C16531,,,,
m00016,(13Z)-docosenoyl-CoA,C43H76N7O17P3S,C43H76N7O17P3S,0,p,C16531,,,,
m00016,(13Z)-docosenoyl-CoA,C43H76N7O17P3S,C43H76N7O17P3S,0,r,C16531,,,,
m00017,(13Z)-eicosenoic acid,C20H38O2,C20H38O2,0,c,,,,,
m00017,(13Z)-eicosenoic acid,C20H38O2,C20H38O2,0,l,,,,,
m00017,(13Z)-eicosenoic acid,C20H38O2,C20H38O2,0,r,,,,,
m00017,(13Z)-eicosenoic acid,C20H38O2,C20H38O2,0,s,,,,,
m00018,(13Z)-eicosenoyl-CoA,C41H72N7O17P3S,C41H72N7O17P3S,0,c,,,,,
m00018,(13Z)-eicosenoyl-CoA,C41H72N7O17P3S,C41H72N7O17P3S,0,m,,,,,
m00018,(13Z)-eicosenoyl-CoA,C41H72N7O17P3S,C41H72N7O17P3S,0,p,,,,,
m00018,(13Z)-eicosenoyl-CoA,C41H72N7O17P3S,C41H72N7O17P3S,0,r,,,,,
m00019,(13Z)-octadecenoic acid,C18H34O2,C18H34O2,0,c,,,,,
m00019,(13Z)-octadecenoic acid,C18H34O2,C18H34O2,0,l,,,,,
m00019,(13Z)-octadecenoic acid,C18H34O2,C18H34O2,0,r,,,,,
m00019,(13Z)-octadecenoic acid,C18H34O2,C18H34O2,0,s,,,,,
m00020,(13Z)-octadecenoyl-CoA,C39H68N7O17P3S,C39H68N7O17P3S,0,c,,,,,
m00020,(13Z)-octadecenoyl-CoA,C39H68N7O17P3S,C39H68N7O17P3S,0,m,,,,,
m00020,(13Z)-octadecenoyl-CoA,C39H68N7O17P3S,C39H68N7O17P3S,0,r,,,,,
m00021,"(13Z,16Z)-docosadienoic acid",C22H40O2,C22H40O2,0,c,C16533,,,,
m00021,"(13Z,16Z)-docosadienoic acid",C22H40O2,C22H40O2,0,l,C16533,,,,
m00021,"(13Z,16Z)-docosadienoic acid",C22H40O2,C22H40O2,0,r,C16533,,,,
m00021,"(13Z,16Z)-docosadienoic acid",C22H40O2,C22H40O2,0,s,C16533,,,,
m00022,"(13Z,16Z)-docosadienoylcarnitine",C29H53NO4,C29H53NO4,0,c,,,,,
m00022,"(13Z,16Z)-docosadienoylcarnitine",C29H53NO4,C29H53NO4,0,m,,,,,
m00022,"(13Z,16Z)-docosadienoylcarnitine",C29H53NO4,C29H53NO4,0,r,,,,,
m00023,"(13Z,16Z)-docosadienoyl-CoA",C43H74N7O17P3S,C43H74N7O17P3S,0,c,C16645,,,,
m00023,"(13Z,16Z)-docosadienoyl-CoA",C43H74N7O17P3S,C43H74N7O17P3S,0,m,C16645,,,,
m00023,"(13Z,16Z)-docosadienoyl-CoA",C43H74N7O17P3S,C43H74N7O17P3S,0,r,C16645,,,,
m00024,(15Z)-tetracosenoylcarnitine,C31H59NO4,C31H59NO4,0,c,,,,,
m00024,(15Z)-tetracosenoylcarnitine,C31H59NO4,C31H59NO4,0,r,,,,,
m00025,(15Z)-tetracosenoyl-CoA,C45H80N7O17P3S,C45H80N7O17P3S,0,c,C16532,,,,
m00025,(15Z)-tetracosenoyl-CoA,C45H80N7O17P3S,C45H80N7O17P3S,0,p,C16532,,,,
m00025,(15Z)-tetracosenoyl-CoA,C45H80N7O17P3S,C45H80N7O17P3S,0,r,C16532,,,,
m00026,(18E)-20-oxo-20-CoA-LTB4,C41H62N7O21P3S,C41H62N7O21P3S,0,m,,,,,
m00026,(18E)-20-oxo-20-CoA-LTB4,C41H62N7O21P3S,C41H62N7O21P3S,0,p,,,,,
m00027,(18E)-20-oxo-20-CoA-LTE4,C44H67N8O22P3S2,C44H67N8O22P3S2,0,p,,,,,
m00028,(18R)-HEPE,C20H30O3,C20H30O3,0,c,,,,,
m00029,"(18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoic acid",C20H30O3,C20H30O3,0,c,,,,,
m00030,"(1aalpha,2beta,3alpha,11calpha)-1a,2,3,11c-tetrahydro-6,11-dimethylbenzo[6,7]phenanthro[3,4-b]oxirene-2,3-diol",C20H18O3,C20H18O3,0,c,C19559,,,,
m00031,"(1R)-hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene",C20H25N3O7S,C20H25N3O7S,0,c,C14791,,,,
m00032,"(1R,2S)-naphthalene 1,2-oxide",C10H8O,C10H8O,0,c,C14786,,CHEBI:33998,,
m00032,"(1R,2S)-naphthalene 1,2-oxide",C10H8O,C10H8O,0,s,C14786,,CHEBI:33998,,
m00033,"(1S)-hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene",C20H25N3O7S,C20H25N3O7S,0,c,C14792,,,,
m00034,"(1S,2R)-naphthalene 1,2-oxide",C10H8O,C10H8O,0,c,C14787,,,,
m00035,"(24R)-24,25-dihydroxycalciol",C27H44O3,C27H44O3,0,c,C07712,,CHEBI:28818,,
m00035,"(24R)-24,25-dihydroxycalciol",C27H44O3,C27H44O3,0,m,C07712,,CHEBI:28818,,
m00035,"(24R)-24,25-dihydroxycalciol",C27H44O3,C27H44O3,0,s,C07712,,CHEBI:28818,,
m00036,"(24R,25R)3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA",C48H80N7O21P3S,C48H80N7O21P3S,0,m,C05450,,CHEBI:52050,,
m00036,"(24R,25R)3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA",C48H80N7O21P3S,C48H80N7O21P3S,0,p,C05450,,CHEBI:52050,,
m00037,"(24R,25R)3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA",C48H80N7O20P3S,C48H80N7O20P3S,0,p,C05448,,CHEBI:27403,,
m00038,(2E)-decenoyl-[ACP],C10H17OSR,C10H17OSR,0,c,C05754,,,,
m00039,(2E)-decenoyl-CoA,C31H52N7O17P3S,C31H52N7O17P3S,0,m,C05275,,CHEBI:10723,,
