index,cpd_id,action,variable,value,note,comment,reference,phase,date
1,m02348,add,chebi_id,CHEBI:3424,previously empty,,,adding new reactions from GO:MF,1/30/15
2,m01276,add,chebi_id,CHEBI:17984,acyl-CoA,,,adding new reactions from GO:MF,1/30/15
3,m01713,add,chebi_id,CHEBI:18320,"1,4-dithiothreitol",,,adding new reactions from GO:MF,1/30/15
4,m02736,add,chebi_id,CHEBI:18156,"1D-myo-inositol 4,5-bisphosphate",,,adding new reactions from GO:MF,1/30/15
5,m90135,add,chebi_id,CHEBI:13653,a long-chain carboxylic acid,,,adding new reactions from GO:MF,1/30/15
6,m90136,add,chebi_id,CHEBI:15339,acceptor,,,adding new reactions from GO:MF,1/30/15
7,m90137,add,chebi_id,CHEBI:15456,(R)-3-hydroxyacyl-CoA,,,adding new reactions from GO:MF,1/30/15
8,m90138,add,chebi_id,CHEBI:16292,"D-arabinono-1,4-lactone",,,adding new reactions from GO:MF,1/30/15
9,m90140,add,chebi_id,CHEBI:16630,3-dehydroshikimate,,,adding new reactions from GO:MF,1/30/15
10,m90141,add,chebi_id,CHEBI:16738,"2,4-dichlorophenol",,,adding new reactions from GO:MF,1/30/15
11,m90142,add,chebi_id,CHEBI:17169,benzaldehyde,,,adding new reactions from GO:MF,1/30/15
12,m90143,add,chebi_id,CHEBI:17194,bromochloromethane,,,adding new reactions from GO:MF,1/30/15
13,m90144,add,chebi_id,CHEBI:17387,O-acylcarnitine,,,adding new reactions from GO:MF,1/30/15
14,m90145,add,chebi_id,CHEBI:17571,"beta-D-galactosyl-(1,4)-beta-N-acetyl-D-glucosaminyl-R",,,adding new reactions from GO:MF,1/30/15
15,m90146,add,chebi_id,CHEBI:17628,aminoacetaldehyde,,,adding new reactions from GO:MF,1/30/15
16,m90147,add,chebi_id,CHEBI:17803,"dehydro-D-arabinono-1,4-lactone",,,adding new reactions from GO:MF,1/30/15
17,m90148,add,chebi_id,CHEBI:19040,1-dodecanol,,,adding new reactions from GO:MF,1/30/15
18,m90149,add,chebi_id,CHEBI:19351,"2,4-dichlorophenoxyacetate",,,adding new reactions from GO:MF,1/30/15
19,m90150,add,chebi_id,CHEBI:23872,dodecyl sulfate,,,adding new reactions from GO:MF,1/30/15
20,m90151,add,chebi_id,CHEBI:24759,hypophosphite,,,adding new reactions from GO:MF,1/30/15
21,m90152,add,chebi_id,CHEBI:28745,L-xylo-hex-3-ulonolactone,,,adding new reactions from GO:MF,1/30/15
22,m90153,add,chebi_id,CHEBI:29197,phosphite,,,adding new reactions from GO:MF,1/30/15
23,m90154,add,chebi_id,CHEBI:32364,3-dehydroquinate,,,adding new reactions from GO:MF,1/30/15
24,m90155,add,chebi_id,CHEBI:33543,sulfonate,,,adding new reactions from GO:MF,1/30/15
25,m90156,add,chebi_id,CHEBI:36655,glyoxylate,,,adding new reactions from GO:MF,1/30/15
26,m90157,add,chebi_id,CHEBI:57347,3-oxoacyl-CoA,,,adding new reactions from GO:MF,1/30/15
27,m90158,add,chebi_id,CHEBI:58639,"5-hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate",,,adding new reactions from GO:MF,1/30/15
28,m90159,add,chebi_id,CHEBI:59532,F420-0,,,adding new reactions from GO:MF,1/30/15
29,m90160,add,chebi_id,CHEBI:59536,F420-1,,,adding new reactions from GO:MF,1/30/15
